Stadtnamen;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Aschaffenburg;140405;114899;104435;110925;126460;157.133;185.589;200.630;174.698;201.752;230.324;273.266;285.555
Bayreuth;;;;;;51.832;43.716;47.969;75.176;78.379;111.533;174.184;157.310
Bamberg;;;;;;145.653;175.663;228.214;289.374;338.728;359.977;566.021;597.361
Landshut;;;;;;121.197;196.560;224.534;190.255;209.607;209.546;395.878;312.201
Kempten;;;;;;117.254;159.811;280.474;361.078;294.785;330.471;425.235;385.514
Rosenheim;;;;;;102.938;84.276;99.300;244.608;283.918;304.436;429.665;426.888
Konstanz;;;;;;;;;145.838;198.751;256.475;339.963;286.936
Worms;;;;;;;;;;183.311;126.120;184.664;155.808
Lüneburg;;;;;;155.808;155.808;155.808;155.808;350.028;322.508;458.358;404.860
Fulda;;;;;;39.521;39.521;143.714;83.674;77.770;111.720;114.057;138.759
